Genes,Result
ENSMUSG00000104476,57
ENSMUSG00000103808,57
ENSMUSG00000075312,57
ENSMUSG00000081583,57
ENSMUSG00000106063,57
ENSMUSG00000086961,57
ENSMUSG00000104852,57
ENSMUSG00000107362,57
ENSMUSG00000105033,57
ENSMUSG00000105985,57
ENSMUSG00000081564,57
ENSMUSG00000061702,57
ENSMUSG00000109882,57
ENSMUSG00000111361,57
ENSMUSG00000111249,57
ENSMUSG00000110928,57
ENSMUSG00000100176,57
ENSMUSG00000106208,57
ENSMUSG00000085078,57
ENSMUSG00000021359,57
ENSMUSG00000018126,57
ENSMUSG00000097507,57
ENSMUSG00000067879,58
ENSMUSG00000103085,58
ENSMUSG00000103961,58
ENSMUSG00000106528,58
ENSMUSG00000098006,58
ENSMUSG00000091313,58
ENSMUSG00000108238,58
ENSMUSG00000109807,58
ENSMUSG00000110378,58
ENSMUSG00000097903,58
ENSMUSG00000086399,58
ENSMUSG00000085192,58
ENSMUSG00000050107,58
ENSMUSG00000097176,58
ENSMUSG00000085072,58
ENSMUSG00000097838,58
ENSMUSG00000090329,58
ENSMUSG00000103916,58
ENSMUSG00000104159,58
ENSMUSG00000097707,58
ENSMUSG00000103711,59
ENSMUSG00000079039,59
ENSMUSG00000096056,59
ENSMUSG00000104336,59
ENSMUSG00000097158,59
ENSMUSG00000029005,59
ENSMUSG00000105282,59
ENSMUSG00000092183,59
ENSMUSG00000056735,59
ENSMUSG00000097246,59
ENSMUSG00000108954,59
ENSMUSG00000110558,59
ENSMUSG00000056155,59
ENSMUSG00000099051,59
ENSMUSG00000104383,59
ENSMUSG00000111434,59
ENSMUSG00000020897,59
ENSMUSG00000019301,59
ENSMUSG00000053181,59
ENSMUSG00000049148,59
ENSMUSG00000103932,59
ENSMUSG00000101059,59
ENSMUSG00000026683,60
ENSMUSG00000104097,60
ENSMUSG00000044916,60
ENSMUSG00000027326,60
ENSMUSG00000083483,60
ENSMUSG00000083502,60
ENSMUSG00000080825,60
ENSMUSG00000105378,60
ENSMUSG00000105519,60
ENSMUSG00000106291,60
ENSMUSG00000107319,60
ENSMUSG00000035364,60
ENSMUSG00000086873,60
