Genes,Result
ENSMUSG00000024905,47
ENSMUSG00000100078,48
ENSMUSG00000104388,48
ENSMUSG00000062319,48
ENSMUSG00000104465,48
ENSMUSG00000105568,48
ENSMUSG00000106446,48
ENSMUSG00000106375,48
ENSMUSG00000030159,48
ENSMUSG00000100826,48
ENSMUSG00000108494,48
ENSMUSG00000032607,48
ENSMUSG00000105962,48
ENSMUSG00000037447,49
ENSMUSG00000052748,49
ENSMUSG00000026589,49
ENSMUSG00000090222,49
ENSMUSG00000087006,49
ENSMUSG00000027160,49
ENSMUSG00000000881,49
ENSMUSG00000028862,49
ENSMUSG00000032690,49
ENSMUSG00000053985,49
ENSMUSG00000099481,49
ENSMUSG00000056919,49
ENSMUSG00000034675,49
ENSMUSG00000074800,49
ENSMUSG00000102676,50
ENSMUSG00000106037,50
ENSMUSG00000046667,50
ENSMUSG00000059939,50
ENSMUSG00000007207,50
ENSMUSG00000029798,50
ENSMUSG00000107176,50
ENSMUSG00000043366,50
ENSMUSG00000055323,50
ENSMUSG00000037921,50
ENSMUSG00000034041,50
ENSMUSG00000031762,50
ENSMUSG00000022199,50
ENSMUSG00000083061,50
ENSMUSG00000038692,50
ENSMUSG00000056749,50
ENSMUSG00000097906,50
ENSMUSG00000073434,50
ENSMUSG00000023067,50
ENSMUSG00000023912,50
ENSMUSG00000103364,51
ENSMUSG00000101599,51
ENSMUSG00000103983,51
ENSMUSG00000037860,51
ENSMUSG00000054737,51
ENSMUSG00000086503,51
ENSMUSG00000089646,51
ENSMUSG00000104802,51
ENSMUSG00000085194,51
ENSMUSG00000035595,51
ENSMUSG00000045799,51
ENSMUSG00000091509,51
ENSMUSG00000111390,51
ENSMUSG00000020474,51
ENSMUSG00000082078,51
ENSMUSG00000083394,51
ENSMUSG00000091549,51
ENSMUSG00000094638,52
ENSMUSG00000102649,52
ENSMUSG00000103867,52
ENSMUSG00000106528,52
ENSMUSG00000105342,52
ENSMUSG00000105774,52
ENSMUSG00000105939,52
ENSMUSG00000104851,52
ENSMUSG00000103959,52
ENSMUSG00000107362,52
ENSMUSG00000106772,52
ENSMUSG00000106706,52
ENSMUSG00000105033,52
ENSMUSG00000107296,52
ENSMUSG00000107531,52
ENSMUSG00000109751,52
ENSMUSG00000085784,52
ENSMUSG00000085078,52
ENSMUSG00000063875,52
ENSMUSG00000103839,53
ENSMUSG00000103976,53
ENSMUSG00000077192,53
ENSMUSG00000105677,53
ENSMUSG00000037108,53
ENSMUSG00000104682,53
ENSMUSG00000055093,53
ENSMUSG00000093979,53
ENSMUSG00000091144,53
ENSMUSG00000104263,53
ENSMUSG00000085088,53
ENSMUSG00000071203,53
ENSMUSG00000023036,53
ENSMUSG00000086969,54
ENSMUSG00000083502,54
ENSMUSG00000104795,54
ENSMUSG00000038236,54
ENSMUSG00000107792,54
ENSMUSG00000109509,54
ENSMUSG00000079038,54
ENSMUSG00000036151,54
ENSMUSG00000097601,54
ENSMUSG00000069899,54
ENSMUSG00000098090,54
ENSMUSG00000102319,55
ENSMUSG00000089877,55
ENSMUSG00000107529,55
ENSMUSG00000106732,55
ENSMUSG00000082705,55
ENSMUSG00000104951,55
ENSMUSG00000097464,55
ENSMUSG00000092323,55
ENSMUSG00000109157,55
ENSMUSG00000057657,55
ENSMUSG00000097136,55
ENSMUSG00000084411,55
ENSMUSG00000103916,55
ENSMUSG00000065530,55
ENSMUSG00000092438,55
ENSMUSG00000101059,55
ENSMUSG00000075276,56
ENSMUSG00000085527,56
ENSMUSG00000100813,56
ENSMUSG00000105814,56
ENSMUSG00000085269,56
ENSMUSG00000108035,56
ENSMUSG00000044139,56
ENSMUSG00000039878,56
ENSMUSG00000079391,56
ENSMUSG00000079396,56
ENSMUSG00000097633,56
ENSMUSG00000048922,56
ENSMUSG00000048329,56
ENSMUSG00000084844,56
ENSMUSG00000019301,56
ENSMUSG00000063129,56
ENSMUSG00000039209,56
ENSMUSG00000103649,57
ENSMUSG00000027833,57
ENSMUSG00000085771,57
ENSMUSG00000087658,57
ENSMUSG00000068262,57
ENSMUSG00000036578,57
ENSMUSG00000097660,57
ENSMUSG00000081926,57
ENSMUSG00000111613,57
ENSMUSG00000097946,57
ENSMUSG00000083022,57
ENSMUSG00000083899,57
ENSMUSG00000035373,57
ENSMUSG00000047394,57
ENSMUSG00000103851,57
ENSMUSG00000058064,57
ENSMUSG00000073478,58
ENSMUSG00000081999,58
ENSMUSG00000073125,58
ENSMUSG00000084904,58
ENSMUSG00000041020,58
ENSMUSG00000070343,58
ENSMUSG00000034035,58
ENSMUSG00000028671,58
ENSMUSG00000110647,58
ENSMUSG00000089855,58
ENSMUSG00000053038,58
ENSMUSG00000060470,58
ENSMUSG00000040938,58
ENSMUSG00000035385,58
ENSMUSG00000061878,58
ENSMUSG00000018012,58
ENSMUSG00000051606,58
ENSMUSG00000052125,58
ENSMUSG00000022868,58
ENSMUSG00000099492,59
ENSMUSG00000084946,59
ENSMUSG00000027360,59
ENSMUSG00000037259,59
ENSMUSG00000081137,59
ENSMUSG00000100755,59
ENSMUSG00000096544,59
ENSMUSG00000029032,59
ENSMUSG00000109108,59
ENSMUSG00000019775,59
ENSMUSG00000019883,59
ENSMUSG00000109419,59
ENSMUSG00000084808,59
ENSMUSG00000031980,59
ENSMUSG00000044551,59
ENSMUSG00000036768,59
ENSMUSG00000030446,59
ENSMUSG00000047227,59
ENSMUSG00000042564,59
ENSMUSG00000073433,59
ENSMUSG00000091697,59
ENSMUSG00000081487,60
ENSMUSG00000098651,60
ENSMUSG00000074912,60
ENSMUSG00000085741,60
ENSMUSG00000090210,60
ENSMUSG00000106063,60
ENSMUSG00000074340,60
ENSMUSG00000029283,60
ENSMUSG00000097364,60
ENSMUSG00000107835,60
ENSMUSG00000108238,60
ENSMUSG00000074978,60
ENSMUSG00000065432,60
ENSMUSG00000065147,60
ENSMUSG00000078965,60
ENSMUSG00000082171,60
ENSMUSG00000086743,60
ENSMUSG00000059751,60
ENSMUSG00000043483,60
ENSMUSG00000022621,60
ENSMUSG00000087556,60
ENSMUSG00000064281,61
ENSMUSG00000079429,61
ENSMUSG00000058603,61
ENSMUSG00000081344,61
ENSMUSG00000049929,61
ENSMUSG00000083311,61
ENSMUSG00000047757,61
ENSMUSG00000057036,61
ENSMUSG00000105388,61
ENSMUSG00000070858,61
ENSMUSG00000086291,61
ENSMUSG00000107560,61
ENSMUSG00000078768,61
ENSMUSG00000074158,61
ENSMUSG00000056592,61
ENSMUSG00000083121,61
ENSMUSG00000110275,61
ENSMUSG00000090778,61
ENSMUSG00000014813,61
ENSMUSG00000022070,61
ENSMUSG00000032344,61
ENSMUSG00000082286,61
ENSMUSG00000082107,61
ENSMUSG00000025001,61
ENSMUSG00000028341,62
ENSMUSG00000078532,62
ENSMUSG00000046694,62
ENSMUSG00000085069,62
ENSMUSG00000089809,62
ENSMUSG00000072872,62
ENSMUSG00000109274,62
ENSMUSG00000049130,62
ENSMUSG00000100005,62
ENSMUSG00000019850,62
ENSMUSG00000037112,62
ENSMUSG00000020120,62
