Genes,Result
ENSMUSG00000087006,48
ENSMUSG00000016458,48
ENSMUSG00000028680,48
ENSMUSG00000028862,48
ENSMUSG00000029201,48
ENSMUSG00000001741,48
ENSMUSG00000030966,48
ENSMUSG00000050914,48
ENSMUSG00000031762,48
ENSMUSG00000041696,48
ENSMUSG00000041046,48
ENSMUSG00000021411,48
ENSMUSG00000056749,48
ENSMUSG00000034675,48
ENSMUSG00000037169,48
ENSMUSG00000035356,48
ENSMUSG00000097119,48
ENSMUSG00000039982,48
ENSMUSG00000103983,49
ENSMUSG00000046667,49
ENSMUSG00000024793,49
ENSMUSG00000059939,49
ENSMUSG00000089646,49
ENSMUSG00000029561,49
ENSMUSG00000007207,49
ENSMUSG00000029551,49
ENSMUSG00000043366,49
ENSMUSG00000055323,49
ENSMUSG00000034041,49
ENSMUSG00000022199,49
ENSMUSG00000022020,49
ENSMUSG00000111390,49
ENSMUSG00000032607,49
ENSMUSG00000038692,49
ENSMUSG00000069171,49
ENSMUSG00000003352,49
ENSMUSG00000024818,49
ENSMUSG00000103364,50
ENSMUSG00000104388,50
ENSMUSG00000062319,50
ENSMUSG00000086503,50
ENSMUSG00000104465,50
ENSMUSG00000105568,50
ENSMUSG00000106446,50
ENSMUSG00000106375,50
ENSMUSG00000108494,50
ENSMUSG00000035595,50
ENSMUSG00000091509,50
ENSMUSG00000105962,50
ENSMUSG00000026628,51
ENSMUSG00000017418,51
ENSMUSG00000078202,51
ENSMUSG00000040152,51
ENSMUSG00000090086,51
ENSMUSG00000029570,51
ENSMUSG00000030317,51
ENSMUSG00000003545,51
ENSMUSG00000049516,51
ENSMUSG00000030878,51
ENSMUSG00000075327,51
ENSMUSG00000038894,51
ENSMUSG00000096957,51
ENSMUSG00000005413,51
ENSMUSG00000032515,51
ENSMUSG00000069892,51
ENSMUSG00000020363,51
ENSMUSG00000034271,51
ENSMUSG00000039942,51
ENSMUSG00000072568,51
ENSMUSG00000042622,51
ENSMUSG00000057880,51
